# gpu=Tesla T4
# compute_capability=7.5
# sm_count=40
# cuda_runtime=12.8
# cuda_driver=13.0
# warmup_launches=10
# samples=15
# target_sample_ms=100
implementation,m,n,k,kernel_iterations,pipeline_iterations,kernel_min_ms,kernel_median_ms,kernel_p90_ms,kernel_gflops,pipeline_median_ms,pipeline_p90_ms,pipeline_effective_gflops
naive,128,128,128,5206,632,0.010733,0.010819,0.012658,387.691,0.092076,0.095003,45.553
naive,256,256,256,1590,185,0.068272,0.068987,0.069348,486.387,0.315760,0.330429,106.266
naive,512,512,512,229,52,0.507176,0.510542,0.512926,525.786,1.339190,1.374753,200.446
naive,1024,1024,1024,24,11,4.523080,4.554229,4.577465,471.536,6.552590,6.606478,327.730
naive,2048,2048,2048,3,2,42.199745,42.356054,42.729406,405.606,48.547416,48.879775,353.878
naive,512,2048,256,97,21,0.998642,1.007514,1.011967,532.867,2.600115,2.741594,206.480
naive,2048,512,256,117,36,1.036808,1.043902,1.047803,514.292,2.523915,2.611548,212.714
